Column 1,Project Admin,BIM/CAD Coordinator,Coordination Foreman,BIM/CAD Spooler,Project Coordinator,Shop Foreman,Shop Worker,QA/QC Worker,Shipping/Receiving,Project Admin Rationale,BIM/CAD Coordinator Rationale,Coordination Foreman Rationale,BIM/CAD Spooler Rationale,Project Coordinator Rationale,Shop Foreman Rationale,Shop Worker Rationale,QA/QC Worker Rationale,Shipping/Receiving Rationale,Description
Systems,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Systems Filter
Tracking,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use tracking Filter
Search and Scan Selector,True,True,True,True,True,True,True,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Shop management feature needed by Shop Foreman,Shop execution feature needed by Shop Worker,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to use scan and search selector for view
Toolbar,True,True,True,True,True,True,True,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Shop management feature needed by Shop Foreman,Shop execution feature needed by Shop Worker,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,ALL Packages Details Viewer Toolbar
Grid Offset Measurement and Grid Display,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use grid display and run offset measurements
Numbering,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Packages Details Viewer Toolbar Numbering
Bulk Delete,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Bulk Edit - Delete All Item Numbers and Tags tool will display and when clicked any existing numbers or tags will be deleted.
Edit STRATUS.Part.Number,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to make and edit supplier links
Renumber,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Renumber - All Item Numbers tool will display and when clicked any existing item numbers will be renumbered.
Tagging,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
Display,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see status board under packages
Bulk Create,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
Bulk Delete,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Bulk Edit - Delete All Item Numbers and Tags tool will display and when clicked any existing numbers or tags will be deleted.
Custom Tags,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The Custom Tags tool will display and when clicked the Annotation Tags dialog will display.
Delete,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The delete tag icon (red x) will display within a item number or tag. When the mouse hovers over the item number or tag the user will be able to click the icon and delete the item number or tag.
Move,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The move tag icon (blue +) will display within a item number or tag. When the mouse hovers over the item number or tag the user will be able to click the icon and move the item number or tag.
Properties,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use propteries tab in toolbar
Select Connected,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use select connected in toolbar
Packages,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Packages tab in Display Mode
Analytics,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
Categories,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Categories Filter
Conduit Package,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports Package
Distribution Equipment Package,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports Package
In Wall Package,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports Package
Lighting Package,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports Package
Pullbox Package,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports Package
Rack Package,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports Package
Support Package,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports Package
Dashboard,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and make changes to shops dashboard
Archive,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Able to archive packages in the dashboard
Dashboard Table,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Access to see dashboard
Delete,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The delete tag icon (red x) will display within a item number or tag. When the mouse hovers over the item number or tag the user will be able to click the icon and delete the item number or tag.
Edit Tracking Statuses,True,True,True,True,True,True,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Shop management feature needed by Shop Foreman,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Tracking Statuses
GenerateMaj,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to generate maj from dashboard
GeneratePcf,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to generate pcf from dashboard
New Package,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to make new packages with dashbaord new package button also toggles visibility
Details,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Packages Details
Attachments,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,"Toolbar permission for Actions and Window Select.
Toolbar permission for Actions > Attachment."
Attachments,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,"Toolbar permission for Actions and Window Select.
Toolbar permission for Actions > Attachment."
Markups,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
Create & Edit,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to make and edit supplier links
Delete,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The delete tag icon (red x) will display within a item number or tag. When the mouse hovers over the item number or tag the user will be able to click the icon and delete the item number or tag.
View,True,False,False,False,False,False,False,True,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to view scanner tab
Bill of Materials,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Packages Details BOM
BOM,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Reports BOM
BOM & Modify Inline Fields,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to View BOM and change items in made BOM
Edit BOM Mappings,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to make and edit supplier links
CAD Sheet,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Access to Cad sheet deatils tab
Cut Lists,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Access to cut list details tab
Items,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Shops Items
Attachments,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,"Toolbar permission for Actions and Window Select.
Toolbar permission for Actions > Attachment."
Edit,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to make and edit supplier links
Lightning Catalog,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,
Modify Packages,True,True,True,True,True,True,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Shop management feature needed by Shop Foreman,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to change packages set to deliverables
Remove,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to remove items through items list
View,True,False,False,False,False,False,False,True,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to view scanner tab
Markups,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Refer to Stratus KB for this permission
Create & Edit,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to make and edit supplier links
Delete,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,The delete tag icon (red x) will display within a item number or tag. When the mouse hovers over the item number or tag the user will be able to click the icon and delete the item number or tag.
View,True,False,False,False,False,False,False,True,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to view scanner tab
Notes,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to view notes
Point Lists,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to view points list
Properties,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use propteries tab in toolbar
Tasks,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to set station tasks
Delete Tasks,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to delete tasks
Task Board,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to view task board
Tracking,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use tracking Filter
Viewer,True,True,True,True,True,False,False,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to view deliverables
Change Model View,True,True,True,True,True,False,False,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to change model view from drop down
Search and Scan Selector,True,True,True,True,True,True,True,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Shop management feature needed by Shop Foreman,Shop execution feature needed by Shop Worker,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to use scan and search selector for view
STRATUS Sheet,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see STRATUS sheet tab
Toolbar,True,True,True,True,True,True,True,True,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Shop management feature needed by Shop Foreman,Shop execution feature needed by Shop Worker,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,ALL Packages Details Viewer Toolbar
Actions,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Packages Details Viewer Toolbar Actions
Areas,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,ALL Projects Areas
Assemblies,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Assemblies Filter
Attachments,True,True,True,True,True,False,False,False,False,Global admin access to all features,Detail/modeling feature needed by BIM/CAD Coordinator,Viewing feature needed for NEC-compliance review,Prefab planning/detail feature needed by Spooler,Package/schedule feature needed by Project Coordinator,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,"Toolbar permission for Actions and Window Select.
Toolbar permission for Actions > Attachment."
Categories,True,False,False,False,False,False,False,False,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Feature outside Shop Foreman scope,Feature outside shop worker scope,Feature not required for QC,Feature outside logistics scope,Ability to see and use Categories Filter
Containers,True,False,False,False,False,True,True,True,False,Global admin access to all features,Feature outside BIM/CAD modeling scope,Editing or non-view features not allowed for Coordination Foreman,Feature outside prefab planning scope,Feature outside overall coordination scope,Shop management feature needed by Shop Foreman,Shop execution feature needed by Shop Worker,QC feature (view/scan) needed by QA/QC Worker,Feature outside logistics scope,Ability to see and use Container Filter
